species,common_name,genus,family,clade,group
Enchylaena tomentosa,ruby saltbush,Enchylaena,Amaranthaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Amaranthus cruentus,red amaranth (grain),Amaranthus,Amaranthaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Amaranthus hypochondriacus,Prince's feather (grain),Amaranthus,Amaranthaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Amaranthus caudatus,love-lies-bleeding (kiwicha),Amaranthus,Amaranthaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Amaranthus tricolor,leaf amaranth (callaloo),Amaranthus,Amaranthaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Amaranthus dubius,spleen amaranth,Amaranthus,Amaranthaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Amaranthus viridis,slender amaranth,Amaranthus,Amaranthaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Amaranthus blitum,purple amaranth (vlita),Amaranthus,Amaranthaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Amaranthus retroflexus,redroot pigweed,Amaranthus,Amaranthaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Amaranthus spinosus,spiny amaranth,Amaranthus,Amaranthaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Amaranthus hybridus,smooth amaranth,Amaranthus,Amaranthaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Amaranthus palmeri,Palmer amaranth (seed),Amaranthus,Amaranthaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Celosia argentea,Lagos spinach (soko),Celosia,Amaranthaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Alternanthera sessilis,sessile joyweed,Alternanthera,Amaranthaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Deeringia amaranthoides,deeringia (leaves),Deeringia,Amaranthaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Stellaria media,chickweed,Stellaria,Caryophyllaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Silene vulgaris,bladder campion (sculpit),Silene,Caryophyllaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Saponaria officinalis,soapwort,Saponaria,Caryophyllaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Gypsophila arrostii,halva root (çöven),Gypsophila,Caryophyllaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Honckenya peploides,sea sandwort,Honckenya,Caryophyllaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Dianthus caryophyllus,carnation (petals),Dianthus,Caryophyllaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Paronychia argentea,Algerian tea,Paronychia,Caryophyllaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Fagopyrum esculentum,buckwheat,Fagopyrum,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Fagopyrum tataricum,Tartary buckwheat,Fagopyrum,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Rheum rhabarbarum,rhubarb,Rheum,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Rheum rhaponticum,false rhubarb,Rheum,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Rheum ribes,Persian rhubarb (rivas),Rheum,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Rumex acetosa,sorrel,Rumex,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Rumex scutatus,French sorrel,Rumex,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Rumex acetosella,sheep sorrel,Rumex,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Rumex patientia,patience dock,Rumex,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Rumex crispus,curly dock,Rumex,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Rumex vesicarius,bladder dock (hummeidh),Rumex,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Rumex hymenosepalus,canaigre,Rumex,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Rumex sanguineus,bloody dock,Rumex,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Rumex alpinus,monk's rhubarb,Rumex,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Oxyria digyna,mountain sorrel,Oxyria,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Bistorta officinalis,bistort,Bistorta,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Bistorta vivipara,alpine bistort,Bistorta,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Persicaria odorata,Vietnamese coriander (rau răm),Persicaria,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Persicaria hydropiper,water pepper (tade),Persicaria,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Persicaria minor,kesum,Persicaria,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Reynoutria japonica,Japanese knotweed (shoots),Reynoutria,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Coccoloba uvifera,sea grape,Coccoloba,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Antigonon leptopus,coral vine (tubers),Antigonon,Polygonaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Portulaca oleracea,purslane,Portulaca,Portulacaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Claytonia perfoliata,miner's lettuce,Claytonia,Montiaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Claytonia sibirica,Siberian spring beauty,Claytonia,Montiaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Claytonia virginica,spring beauty (fairy spuds),Claytonia,Montiaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Montia fontana,water blinks,Montia,Montiaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Lewisia rediviva,bitterroot,Lewisia,Montiaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Talinum fruticosum,Ceylon spinach (waterleaf),Talinum,Talinaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Talinum paniculatum,jewels of Opar (leaves),Talinum,Talinaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Basella alba,Malabar spinach,Basella,Basellaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Ullucus tuberosus,ulluco,Ullucus,Basellaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Anredera cordifolia,Madeira vine,Anredera,Basellaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Portulacaria afra,spekboom,Portulacaria,Didiereaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Opuntia ficus-indica,"prickly pear (nopal, tuna)",Opuntia,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Opuntia engelmannii,Engelmann's prickly pear,Opuntia,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Opuntia humifusa,eastern prickly pear,Opuntia,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Opuntia phaeacantha,tulip prickly pear,Opuntia,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Opuntia robusta,nopal tapón,Opuntia,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Opuntia cochenillifera,cochineal nopal,Opuntia,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Opuntia joconostle,xoconostle,Opuntia,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Opuntia matudae,xoconostle (matudae),Opuntia,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Cylindropuntia acanthocarpa,buckhorn cholla (buds),Cylindropuntia,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Selenicereus undatus,white dragon fruit,Selenicereus,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Selenicereus costaricensis,red dragon fruit,Selenicereus,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Selenicereus megalanthus,yellow dragon fruit,Selenicereus,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Stenocereus thurberi,organ pipe cactus (pitaya dulce),Stenocereus,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Stenocereus queretaroensis,pitaya de Querétaro,Stenocereus,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Stenocereus griseus,pitayo de Mayo,Stenocereus,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Stenocereus gummosus,pitaya agria,Stenocereus,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Stenocereus pruinosus,pitaya de octubre,Stenocereus,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Myrtillocactus geometrizans,garambullo,Myrtillocactus,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Carnegiea gigantea,saguaro,Carnegiea,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Pachycereus pringlei,cardón,Pachycereus,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Pachycereus pecten-aboriginum,hairbrush cactus (fruit),Pachycereus,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Cereus repandus,Peruvian apple cactus,Cereus,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Cereus jamacaru,mandacaru,Cereus,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Echinocereus engelmannii,strawberry hedgehog cactus,Echinocereus,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Ferocactus wislizeni,fishhook barrel (cactus candy),Ferocactus,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Echinocactus platyacanthus,biznaga (acitrón),Echinocactus,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Pereskia aculeata,ora-pro-nóbis,Pereskia,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Leuenbergeria bleo,rose cactus (leaves),Leuenbergeria,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Pereskia grandifolia,rose cactus (grandifolia),Pereskia,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Escontria chiotilla,jiotilla,Escontria,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Polaskia chichipe,chichipe,Polaskia,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Eulychnia acida,copao,Eulychnia,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Echinopsis chiloensis,quisco (guillave),Echinopsis,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Corryocactus brevistylus,sancayo,Corryocactus,Cactaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Tetragonia tetragonioides,New Zealand spinach,Tetragonia,Aizoaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Carpobrotus edulis,sour fig (Hottentot fig),Carpobrotus,Aizoaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Carpobrotus rossii,karkalla,Carpobrotus,Aizoaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Mesembryanthemum crystallinum,ice plant,Mesembryanthemum,Aizoaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Sesuvium portulacastrum,sea purslane,Sesuvium,Aizoaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Trianthema portulacastrum,horse purslane,Trianthema,Aizoaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Phytolacca americana,pokeweed (poke sallet),Phytolacca,Phytolaccaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Phytolacca acinosa,Indian pokeweed,Phytolacca,Phytolaccaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Mirabilis expansa,mauka,Mirabilis,Nyctaginaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Boerhavia diffusa,punarnava,Boerhavia,Nyctaginaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Pisonia grandis,lettuce tree,Pisonia,Nyctaginaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Glinus oppositifolius,slender carpetweed,Glinus,Molluginaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Santalum acuminatum,quandong,Santalum,Santalaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Santalum spicatum,Australian sandalwood (nut),Santalum,Santalaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Exocarpos cupressiformis,native cherry,Exocarpos,Santalaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Ximenia americana,yellow plum (tallow wood),Ximenia,Ximeniaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Ximenia caffra,sourplum,Ximenia,Ximeniaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Coula edulis,coula nut,Coula,Coulaceae,plant,"Eudicots: amaranths, beets, quinoa, buckwheat, rhubarb, sorrel, purslane, cacti, ice plants, pokeweed"
Cornus mas,cornelian cherry,Cornus,Cornaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Cornus kousa,kousa dogwood (fruit),Cornus,Cornaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Cornus canadensis,bunchberry,Cornus,Cornaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Cornus officinalis,Japanese cornel (shanzhuyu),Cornus,Cornaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Nyssa ogeche,Ogeechee lime,Nyssa,Nyssaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Nyssa sylvatica,black tupelo (fruit),Nyssa,Nyssaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Mentzelia albicaulis,whitestem blazingstar (seed),Mentzelia,Loasaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Vaccinium corymbosum,highbush blueberry,Vaccinium,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Vaccinium angustifolium,lowbush blueberry,Vaccinium,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Vaccinium virgatum,rabbiteye blueberry,Vaccinium,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Vaccinium myrtillus,bilberry,Vaccinium,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Vaccinium macrocarpon,cranberry,Vaccinium,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Vaccinium oxycoccos,small cranberry,Vaccinium,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Vaccinium vitis-idaea,lingonberry,Vaccinium,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Vaccinium uliginosum,bog bilberry,Vaccinium,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Vaccinium ovatum,evergreen huckleberry,Vaccinium,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Vaccinium membranaceum,black huckleberry,Vaccinium,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Vaccinium parvifolium,red huckleberry,Vaccinium,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Vaccinium deliciosum,Cascade bilberry,Vaccinium,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Vaccinium ovalifolium,oval-leaf blueberry,Vaccinium,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Vaccinium reticulatum,ohelo,Vaccinium,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Vaccinium floribundum,mortiño,Vaccinium,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Vaccinium meridionale,agraz,Vaccinium,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Vaccinium arctostaphylos,Caucasian whortleberry,Vaccinium,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Vaccinium stamineum,deerberry,Vaccinium,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Vaccinium arboreum,sparkleberry,Vaccinium,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Gaylussacia baccata,black huckleberry (Gaylussacia),Gaylussacia,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Gaylussacia frondosa,dangleberry,Gaylussacia,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Arbutus unedo,strawberry tree,Arbutus,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Arbutus menziesii,Pacific madrone (berries),Arbutus,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Arctostaphylos uva-ursi,bearberry,Arctostaphylos,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Arctostaphylos glauca,bigberry manzanita,Arctostaphylos,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Arctostaphylos pungens,pointleaf manzanita,Arctostaphylos,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Arctous alpina,alpine bearberry,Arctous,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Gaultheria procumbens,wintergreen,Gaultheria,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Gaultheria shallon,salal,Gaultheria,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Gaultheria hispida,snowberry (Tasmania),Gaultheria,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Gaultheria mucronata,prickly heath (berries),Gaultheria,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Gaultheria fragrantissima,fragrant wintergreen,Gaultheria,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Empetrum nigrum,crowberry,Empetrum,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Empetrum rubrum,red crowberry (diddle-dee),Empetrum,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Calluna vulgaris,heather,Calluna,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Rhododendron arboreum,tree rhododendron (flowers),Rhododendron,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Rhododendron tomentosum,marsh Labrador tea,Rhododendron,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Rhododendron groenlandicum,Labrador tea,Rhododendron,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Oxydendrum arboreum,sourwood,Oxydendrum,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
Macleania rupestris,uva camarona,Macleania,Ericaceae,plant,"Eudicots: cornels, heaths, tea, kiwi, persimmon, sapotes, Brazil nut, primroses"
